PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE birds (id, common_name, reviewable, created_at, updated_at);
INSERT INTO "birds" VALUES('1','Black-bellied Whistling-Duck','yes','26:39.0','57:56.6');
INSERT INTO "birds" VALUES('2','West Indian Whistling-duck','yes','26:54.0','45:23.6');
INSERT INTO "birds" VALUES('4','Fulvous Whistling-Duck','yes','11:40.7','36:45.3');
INSERT INTO "birds" VALUES('5','Greater White-fronted Goose','yes','14:08.0','37:08.1');
INSERT INTO "birds" VALUES('6','Rosss Goose ','yes','27:39.7','27:49.2');
INSERT INTO "birds" VALUES('7','Rosss Goose (blue morph)','yes','37:39.6','37:39.6');
INSERT INTO "birds" VALUES('8','Brant','yes','37:57.2','37:57.2');
INSERT INTO "birds" VALUES('9','Brant (forms/taxa other than hrota)','yes','38:07.3','38:07.3');
INSERT INTO "birds" VALUES('10','Barnacle Goose','yes','38:37.1','38:56.1');
INSERT INTO "birds" VALUES('11','Cackling Goose','yes','39:10.0','39:10.0');
INSERT INTO "birds" VALUES('12','Eurasian Wigeon ','yes','39:23.8','39:23.8');
INSERT INTO "birds" VALUES('13','Cinnamon Teal','yes','39:37.4','39:37.4');
INSERT INTO "birds" VALUES('14','White-cheeked Pintail','yes','39:52.1','39:52.1');
INSERT INTO "birds" VALUES('15','Garganey','yes','40:10.8','40:10.8');
INSERT INTO "birds" VALUES('16','Eurasian Green-winged Teal (Common Teal)','yes','40:38.6','40:38.6');
INSERT INTO "birds" VALUES('17','Tufted Duck','yes','40:49.9','40:49.9');
INSERT INTO "birds" VALUES('18','King Eider','yes','40:59.1','40:59.1');
INSERT INTO "birds" VALUES('19','Common Eider','yes','41:13.7','41:13.7');
INSERT INTO "birds" VALUES('20','Harlequin Duck','yes','42:25.4','49:25.4');
INSERT INTO "birds" VALUES('21','Surf Scoter','yes','42:34.4','42:34.4');
INSERT INTO "birds" VALUES('22','White-winged Scoter','yes','42:45.8','42:45.8');
INSERT INTO "birds" VALUES('23','Black Scoter','yes','42:54.1','42:54.1');
INSERT INTO "birds" VALUES('24','Barrows Goldeneye','yes','43:11.7','43:11.7');
INSERT INTO "birds" VALUES('25','Ruffed Grouse','yes','43:23.0','43:23.0');
INSERT INTO "birds" VALUES('26','Red-throated Loon ','yes','43:32.8','43:32.8');
INSERT INTO "birds" VALUES('27','Pacific Loon','yes','43:41.9','43:41.9');
INSERT INTO "birds" VALUES('28','Eared Grebe','yes','43:49.1','43:49.1');
INSERT INTO "birds" VALUES('29','Western Grebe','yes','44:03.5','44:03.5');
INSERT INTO "birds" VALUES('30','Clark''s Grebe','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('31','Other','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('32','Yellow-nosed Albatross','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('33','Black-browed Albatross','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('34','American Flamingo','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('35','Phoenicopterus sp (unidentified flamingo)','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('36','Northern Fulmar','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('37','Herald (Trindidade) Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('38','Feas Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('39','Black-capped Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('40','Bulwers Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('41','Corys Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('42','Greater Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('43','Sooty Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('44','Short-tailed Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('45','Manx Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('46','Audubons Shearwater','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('47','Wilsons Storm-Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('48','White-faced Storm-Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('49','Leachs Storm-Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('50','Band-rumped Storm-Petrel','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('51','White-tailed Tropicbird','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('52','Red-billed Tropicbird','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('53','Wood Stork','yes','44:12.6','44:12.6');
INSERT INTO "birds" VALUES('54','Magnificent Frigatebird','yes','44:12.6','44:12.6');
